DATE,person_id,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
2021-07-06,1487,1,6,0,2584.0,1841.0,4.67,0.02,0.0,72.0,61.0,114.0,6.93,0.03,64.0,60.0,71.0,0.0,0.05
2021-07-07,1487,2,6,0,4594.0,3201.0,5.42,0.17,0.0,72.0,61.0,111.0,6.82,0.03,63.0,59.0,70.0,0.0,0.03
2021-07-08,1487,3,6,0,9602.0,7011.0,5.07,1.23,0.0,78.0,58.0,148.0,7.13,0.03,60.0,55.0,66.0,0.0,0.05
2021-07-09,1487,4,6,0,14121.0,11017.0,5.27,1.18,0.42,76.0,60.0,110.0,6.72,0.03,60.0,54.0,68.0,1.0,0.12
2021-07-10,1487,5,6,0,7022.0,4835.0,5.77,0.18,0.0,74.0,53.0,113.0,7.53,0.13,63.0,59.0,71.0,0.0,0.23
2021-07-11,1487,6,6,0,13668.0,10505.0,4.22,2.32,0.0,76.0,53.0,137.0,7.5,0.03,64.0,53.0,109.22000000000004,0.0,0.07
2021-07-12,1487,0,6,0,2593.0,1806.0,6.15,0.0,0.0,72.0,50.0,97.0,7.1,0.03,60.0,50.0,83.0,1.0,0.6
2021-07-13,1487,1,6,0,3998.0,2794.0,5.17,0.07,0.0,68.0,43.0,109.0,6.63,0.03,64.0,56.0,109.22000000000004,0.0,0.03
2021-07-14,1487,2,6,0,2550.0,1802.0,4.12,0.03,0.0,66.0,40.0,88.0,8.55,0.03,59.0,57.0,64.0,1.0,0.27
2021-07-15,1487,3,6,0,3263.0,2259.0,4.23,0.05,0.0,68.0,55.0,109.0,6.5,0.03,57.0,51.0,63.0,0.0,0.03
2021-07-16,1487,4,6,0,4287.0,3150.0,6.33,0.15,0.0,71.0,58.0,89.0,6.5,0.03,59.0,55.0,68.0,0.0,0.03
2021-07-17,1487,5,6,0,7437.0,5119.0,5.57,0.05,0.0,75.0,62.0,107.0,6.95,0.03,61.0,56.0,68.0,0.0,0.03
2021-07-18,1487,6,6,0,9797.0,6862.0,6.95,0.23,0.0,82.0,43.0,115.0,6.63,0.03,59.0,53.0,66.0,0.0,0.05
2021-07-19,1487,0,6,0,2670.0,1875.0,5.03,0.0,0.0,72.0,59.0,105.0,7.3,0.03,60.0,53.0,77.0,0.0,0.08
2021-07-20,1487,1,6,0,3035.0,2125.0,5.5,0.0,0.0,75.0,59.0,100.0,7.63,0.03,58.0,53.0,64.0,1.0,0.1
2021-07-21,1487,2,6,0,1619.65,1159.97,3.07,0.0,0.0,69.0,47.0,99.0,7.17,0.03,59.0,53.0,67.0,0.0,0.05
2021-07-22,1487,3,6,0,3374.0,2370.0,4.45,0.02,0.0,72.0,55.0,106.0,6.98,0.03,59.0,53.0,67.0,0.0,0.08
2021-07-23,1487,4,6,0,3269.0,2336.0,4.97,0.0,0.0,75.0,60.0,172.0,6.8,0.03,58.0,53.0,67.0,1.0,0.17
2021-07-24,1487,5,6,0,3040.0,2114.0,4.18,0.02,0.0,78.0,57.0,101.0,7.92,0.03,61.0,56.0,69.0,1.0,0.27
2021-07-25,1487,6,6,0,9130.0,6833.0,3.78,1.27,0.0,78.0,54.0,131.0,9.27,0.34,60.0,56.0,70.0,0.0,0.62
2021-07-26,1487,0,6,0,5808.0,4387.0,4.7,0.42,0.0,75.0,59.0,126.0,6.42,0.03,62.0,59.0,67.0,1.0,0.1
2021-07-27,1487,1,6,0,7119.0,5302.0,4.37,0.78,0.0,72.0,58.0,179.0,7.2,0.03,58.0,55.0,64.0,0.0,0.03
2021-07-28,1487,2,6,0,6027.0,4444.0,3.25,0.68,0.0,73.0,58.0,147.0,6.82,0.03,58.0,54.0,69.0,0.0,0.03
2021-07-29,1487,3,6,0,9911.0,7349.0,4.77,1.08,0.0,76.0,54.0,174.0,7.42,0.03,58.0,53.0,65.0,0.0,0.03
